text,intent
saya mau lihat status cuti,approval_status
status lembur dong,approval_status
lihat status lembur saya,approval_status
status pembatalan cuti,approval_status
absen status,approval_status
lihat status absen tanggal 1 januari 2018 - 1 desember 2018,approval_status
lihat status leave cancellation sampai hari ini,approval_status
status absen dari 1 mei 2018 sampai 20 mei 2018,approval_status
status cuti gw tanggal 9 sampai 10 maret 2019,approval_status
cek status cuti tanggal 4 mei,approval_status
status batal cuti saya dong pada tanggal 2 mei 2018 sampai 4 mei 2018,approval_status
gimana status cuti gw yang tanggal 21?,approval_status
lihat status cuti dong,approval_status
"status cuti tanggal 1 mei 2018, 2 mei 2018",approval_status
status cuti gw gimana?,approval_status
reimbursement status pada tanggal 21 juli 2018,approval_status
lihat status cuti dari tanggal 1 juni - 2 juli,approval_status
status pembatalan cuti tanggal 8 mei 2018,approval_status
status cuti 21 juni sampai sekarang,approval_status
gimana status reimburse gw?,approval_status
gimana status cuti gw?,approval_status
"status pembatalan cuti tanggal 8 mei 2018, 9 mei 2018",approval_status
tampilin status cuti gw ya mulai 2 mei sampai 1 desember 2018,approval_status
lihat pengajuan cuti,approval_status
lihat status cuti dari 1 maret 2018 sampai hari ini,approval_status
status cuti yang tanggal 10 desember aja deh,approval_status
status pembatalan cuti tanggal 1 mei 2018 dan 2 mei 2018,approval_status
status cuti 1 januari - 3 april 2018,approval_status
gimana nih status lembur ane?,approval_status
apakah status cuti saya sudah disetujui?,approval_status
tampilkan status pembatalan cuti saya dong,approval_status
status cuti,approval_status
reimburse status pada tanggal 21 aja deh,approval_status
lihat status cuti,approval_status
status batal cuti gw 2 mei 2018 dan 4 mei 2018,approval_status
gimana status cuti saya dari hari ini sampai minggu depan?,approval_status
show status absen saya,approval_status
status lembur 1 desember - 2 desember,approval_status
status absen tanggal 1 sampai tanggal 2 ya,approval_status
"lembur status tanggal 1 mei, 2 mei, dan 3 mei 2018",approval_status
detail pengajuan cuti,approval_status
status pembatalan cuti pada tanggal 23 maret sampai 27 juli,approval_status
status batal cuti tanggal 1 mei - 27 mei,approval_status
tampilin status absen gw ya mulai 2 mei sampai 1 desember 2018,approval_status
aku mau lihat status batal cuti,approval_status
rejected,approval_status_ask_status
approved,approval_status_ask_status
pending,approval_status_ask_status
waiting,approval_status_ask_status
anak buah saya siapa aja,ask_subordinate
siapa anak buah saya,ask_subordinate
siapa aja bawahan gua,ask_subordinate
subordinate saya siapa aja ya?,ask_subordinate
Siapa saja bawahan saya ya?,ask_subordinate
Tolong tampilkan daftar bawahan saya,ask_subordinate
siapa bawahan saya?,ask_subordinate
Siapa aja yang menjadi tanggung jawab saya,ask_subordinate
Mau tau subordinate saya dan ada berapa orang,ask_subordinate
Berapa orang yang saya manage dan siapa saja?,ask_subordinate
Subordinate saya ada berapa orang dan siapa saja?,ask_subordinate
Nama subordinate saya?,ask_subordinate
Subordinate saya siapa?,ask_subordinate
Siapa yang saya manage?,ask_subordinate
Minta list bawahan,ask_subordinate
subordinate,ask_subordinate
bawahan,ask_subordinate
bawahan saya siapa siapa aja,ask_subordinate
siapa saja bawahan saya,ask_subordinate
bawahan saya,ask_subordinate
list bawahan aku dong,ask_subordinate
data semua bawahan saya,ask_subordinate
tampilkan subordinate gw,ask_subordinate
informasi subordinate ya,ask_subordinate
info subordinate dong,ask_subordinate
aku supervisor siapa aja?,ask_subordinate
subordinate gw,ask_subordinate
siapa subordinate saya?,ask_subordinate
bosku,ask_supervisor
bosku siapa,ask_supervisor
atasanku,ask_supervisor
bos aing,ask_supervisor
bos saya,ask_supervisor
boss gua siapa,ask_supervisor
boss gue,ask_supervisor
boss gua,ask_supervisor
boss saya siapa,ask_supervisor
saya bawahannya siapa?,ask_supervisor
siapa sih atasan gw?,ask_supervisor
detail data atasan saya,ask_supervisor
detail data manager saya,ask_supervisor
data atasan saya,ask_supervisor
mau data manajer saya dong,ask_supervisor
siapa managerku?,ask_supervisor
tampilkan data managerku,ask_supervisor
tampilkan data supervisor aku,ask_supervisor
tolong tampilkan data manager saya,ask_supervisor
detail supervisor,ask_supervisor
siapa supervisor gw?,ask_supervisor
info supervisor saya dong,ask_supervisor
info supervisor gw dong,ask_supervisor
siapa supervisor saya?,ask_supervisor
tahun lalu umpnya berapa ya?,ask_ump
ump tahun depan,ask_ump
ump tahun ini,ask_ump
ump saya tahun 2011?,ask_ump
berapa ump saya tahun 2012?,ask_ump
ump tempat saya tahun 2014?,ask_ump
ump aku tahun 2016 dong,ask_ump
berapa ump aku tahun lalu?,ask_ump
upah minimum provinsi lokasi saya dong,ask_ump
berapa ump di kota ini?,ask_ump
nominal ump gue dong,ask_ump
nominal ump saya,ask_ump
berapa ump aku tahun ini?,ask_ump
ump tahun 2010 di tempat saya?,ask_ump
minta nilai ump dong,ask_ump
berapa ump di tempat saya?,ask_ump
upah minimum provinsi saya?,ask_ump
upah minimum di tempat saya?,ask_ump
ump saya?,ask_ump
ump di lokasi saya berapa ya?,ask_ump
masuk,register_user
login,register_user
mau mendaftar ya,register_user
saya mau mendaftar ya,register_user
mau melakukan pendaftaran,register_user
gimana caranya daftar?,register_user
tolong daftarkan saya,register_user
mau register dong,register_user
saya mau daftar dong,register_user
mau daftar dong,register_user
registrasi dong,register_user
register,register_user
daftar dong,register_user
daftar,register_user
gw mau daftar ya,register_user
Saya ingin mengganti akun saya,revoke_user
Saya ingin berhenti menggunakan chatbot,revoke_user
Saya ingin menghapus akses chatbot saya,revoke_user
Keluar aplikasi chatbot,revoke_user
mau log out donk,revoke_user
saya ingin revoke akses chatbot,revoke_user
change account,revoke_user
quit,revoke_user
exit,revoke_user
log out,revoke_user
keluar,revoke_user
logout,revoke_user
hapus user,revoke_user
revoke user,revoke_user
tolong hapus user saya,revoke_user
hapus akun,revoke_user
hapuskan user saya ya,revoke_user
revoke,revoke_user
hapus user dong,revoke_user
delete user,revoke_user
saya mau hapus user,revoke_user
hapus user saya,revoke_user
tidak,revoke_user_ask_confirmation
ga,revoke_user_ask_confirmation
ya,revoke_user_ask_confirmation
id perusahaan djarum,register_user_ask_tenant
id perusahaan saya djarum ya,register_user_ask_tenant
perusahaan saya catapa,register_user_ask_tenant
tobing nama perusahaan gw,register_user_ask_tenant
cutbray nama perusahaan gw,register_user_ask_tenant
bersamaKitaBisa nama perusahaanku,register_user_ask_tenant
catapa nama perusahaan saya,register_user_ask_tenant
catapa,register_user_ask_tenant
nama perusahaan saya comiKu,register_user_ask_tenant
djarum adalah perusahaan saya,register_user_ask_tenant
nama perusahaan gw djarum,register_user_ask_tenant
djarumLebihBaik,register_user_ask_tenant
tobing perusahaan saya,register_user_ask_tenant
nama perusahaan saya catapaDong,register_user_ask_tenant
tenant saya catapa,register_user_ask_tenant
wkwkwland nama perusahaan saya,register_user_ask_tenant
duolingo,register_user_ask_tenant
perusahaannya bernama duolingo,register_user_ask_tenant
id perusahaan catapa,register_user_ask_tenant
perusahaan idnya google,register_user_ask_tenant
perusahaan id nya microsoft,register_user_ask_tenant
id perusahaannya facebook,register_user_ask_tenant
glair perusahaannya,register_user_ask_tenant
perusahaan glair,register_user_ask_tenant
23233,register_user_ask_verification_code
ini tokennya 23212,register_user_ask_verification_code
44132,register_user_ask_verification_code
12313 tokennya,register_user_ask_verification_code
tokennya adalah 42069,register_user_ask_verification_code
80182 ini ya,register_user_ask_verification_code
mau kirim ulang kode verifikasi dong,register_user_resend_verification_code
mau kirim ulang kode dong,register_user_resend_verification_code
mau kirim ulang dong,register_user_resend_verification_code
mau kirim ulang kode,register_user_resend_verification_code
mau kirim ulang kode verifikasi,register_user_resend_verification_code
mau kirim ulang,register_user_resend_verification_code
kirim ulang kode ya,register_user_resend_verification_code
kirim ulang ya,register_user_resend_verification_code
saya tidak dapat kode verifikasi,register_user_resend_verification_code
bisa kirim ulang kode verifikasi?,register_user_resend_verification_code
resend kode verifikasi ya,register_user_resend_verification_code
resend kode verifikasi,register_user_resend_verification_code
kirim ulang kode verifikasi dong,register_user_resend_verification_code
kirim ulang kode dong,register_user_resend_verification_code
kirim ulang kode,register_user_resend_verification_code
kirim ulang dong,register_user_resend_verification_code
kirim ulang,register_user_resend_verification_code
coba kirim ulang kodenya dong,register_user_resend_verification_code
tolong kirim ulang ya,register_user_resend_verification_code
kirim ulang kode verifikasi,register_user_resend_verification_code
resend verification code,register_user_resend_verification_code
yup,thank_you
yuhuu,thank_you
yuhu,thank_you
yes,thank_you
siap,thank_you
setujuu,thank_you
setuju,thank_you
samasama,thank_you
masama,thank_you
kembali kasih,thank_you
terima kasih juga,thank_you
terima kasih kembali,thank_you
sama-sama,thank_you
trims,thank_you
sip,thank_you
ok,thank_you
oke,thank_you
thanks,thank_you
makasih banyak,thank_you
makasih,thank_you
thank you,thank_you
terima kasih,thank_you
